review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-BMK-002-MD-001,DOC-BMK-002,pdf,65,pymupdf4llm_markdown,PAR-DOC-BMK-002-00992,3,4,|Towards scientific<br>impact|Short-term|Medium-term|Longer-term|,structured_table,markdown_table_detected,yes,PAGE-65,,review_required,,,
TRV-DOC-BMK-002-MD-002,DOC-BMK-002,pdf,66,pymupdf4llm_markdown,PAR-DOC-BMK-002-00997,2,4,|Towards scientific<br>impact|Short-term|Medium-term|Longer-term|,review_required,needs_manual_review,review,PAGE-66,,review_required,,,
TRV-DOC-BMK-002-MD-003,DOC-BMK-002,pdf,66,pymupdf4llm_markdown,PAR-DOC-BMK-002-00998,3,4,|Towards societal<br>impact|Short-term|Medium-term|Longer-term|,structured_table,markdown_table_detected,yes,PAGE-66,,review_required,,,
TRV-DOC-BMK-002-MD-004,DOC-BMK-002,pdf,67,pymupdf4llm_markdown,PAR-DOC-BMK-002-01003,2,4,|Towards societal<br>impact|Short-term|Medium-term|Longer-term|,review_required,needs_manual_review,review,PAGE-67,,review_required,,,
TRV-DOC-BMK-002-MD-005,DOC-BMK-002,pdf,67,pymupdf4llm_markdown,PAR-DOC-BMK-002-01004,4,4,|Towards<br>technological /<br>economic impact|Short-term|Medium-term|Longer-term|,structured_table,markdown_table_detected,yes,PAGE-67,,review_required,,,
