review_item_id,document_id,source_format,page_no,candidate_source,candidate_id,rows,cols,preview_text,suggested_class,heuristic_reason,keep_for_dashboard,merge_group_hint,canonical_table_id,review_status,reviewer_notes,treat_as_char,text_wrap
TRV-DOC-BMK-005-MD-001,DOC-BMK-005,pdf,15,pymupdf4llm_markdown,PAR-DOC-BMK-005-00023,23,7,|专栏1 “十五五”时期经济社会发展主要指标|Col2|Col3|Col4|Col5|Col6|Col7|,structured_table,markdown_table_detected,yes,PAGE-15,,review_required,,,
TRV-DOC-BMK-005-MD-002,DOC-BMK-005,pdf,87,pymupdf4llm_markdown,PAR-DOC-BMK-005-00165,8,4,|中国世界自然遗产|黄龙 九寨沟 武陵源 云南三江并流 四川大熊猫栖息地 中国南方喀斯特 贵州荔波 重庆金佛山 47-1 47-5 重庆武隆 广西桂林 47-2 47-6 云南石林 广西环江 47-3 47-7 贵州施秉 47-4 三清山 中国丹霞 贵州赤水 江西龙虎山 49-1 49-5 福建泰宁 江西龟峰 49-2 49-6 湖南崀山 浙江江郎山 49-3 49-7 广东丹霞山 49-4 澄江化石地 新疆天山 湖北神农架 青海可可西里 梵净山 中国黄（渤）海候鸟栖息地 江苏盐城 55-1 上海崇明东滩 55-2 山东东营黄河口 55-3 河北沧州南大港 55-4 辽宁大连蛇岛-老铁山 55-5 辽宁丹东鸭绿江口 55-6 巴丹吉林沙漠-沙山湖泊群|中国世界自然文化双遗产|泰山 黄山 峨眉山-乐山大佛 武夷山|,structured_table,markdown_table_detected,yes,PAGE-87,,review_required,,,
